cycle_index,robot_namespace,ros_time_s,source_stamp_s,wall_elapsed_s,cycle_valid,status,input_point_count,filtered_point_count,fine_enabled,ros_to_pcl_ms,queue_wait_ms,task_setup_ms,preprocessing_ms,height_mapping_ms,bgk_mapping_ms,startup_hole_fill_ms,geometric_mapping_ms,step_mapping_ms,traversability_mapping_ms,fine_traversability_mapping_ms,viewpoint_update_ms,map_publication_ms,algorithm_total_ms,accounted_total_ms,cycle_wall_ms,unaccounted_ms,end_to_end_ms
0,vehicle2,963.778000,963.678000,2.909442,1,ok,10593,7907,1,0.157555,0.005852,0.000107,0.057555,35.378178,13.366687,3.214698,40.475423,6.964011,0.697832,216.075938,0.032447,9.519956,316.230322,325.782832,325.925196,0.142364,326.088603
1,vehicle2,964.043000,963.849000,3.800717,1,ok,19957,15699,1,0.262943,0.010427,0.000390,0.130108,26.972286,13.548289,0.000074,40.713234,8.025096,0.710134,372.626414,0.003662,6.631476,462.725635,469.361163,469.642899,0.281736,469.916269
2,vehicle2,964.237000,964.055000,4.610470,1,ok,23338,18638,1,0.174664,0.004809,0.000282,0.068517,20.844666,14.586360,0.000111,55.905472,12.716144,0.930827,403.085256,0.003346,6.622278,508.137353,514.763259,515.282990,0.519731,515.462463
3,vehicle2,964.444000,964.253000,5.482451,1,ok,22564,18288,1,0.261024,0.004349,0.000202,0.051764,22.671090,12.364102,0.000073,40.920801,8.928391,0.822316,444.255001,0.003428,6.947630,530.013538,536.964798,537.207606,0.242808,537.472979
4,vehicle2,964.645000,964.451000,6.247494,1,ok,22829,18439,1,0.376525,0.007401,0.000280,0.179675,21.995252,11.787560,0.000081,42.780002,8.929672,0.722648,450.972506,0.005661,6.802935,537.367396,544.176272,544.449537,0.273265,544.833463
5,vehicle2,964.838000,964.664000,7.166367,1,ok,22815,18375,1,0.317965,0.007838,0.000163,0.093392,15.556078,11.977060,0.000083,43.188328,9.215334,0.728271,553.930957,0.023661,6.686337,634.689503,641.399664,641.632753,0.233089,641.958556
6,vehicle2,965.037000,964.852000,8.003247,1,ok,22784,18372,1,0.369972,0.007597,0.000478,0.085682,8.462271,11.404323,0.000087,43.307233,9.742882,0.698396,454.579272,0.008941,6.539645,528.280146,534.829210,535.087503,0.258293,535.465072
7,vehicle2,965.237000,965.051000,8.795395,1,ok,22781,18352,1,0.257002,0.008120,0.000306,0.095104,14.373028,11.877042,0.000074,41.418268,9.487919,0.707634,448.651073,0.007036,6.967029,526.610142,533.584513,533.852271,0.267758,534.117393
8,vehicle2,965.439000,965.252000,9.656194,1,ok,22831,18391,1,0.357611,0.004735,0.000244,0.120895,13.259797,10.850073,0.000094,42.274927,9.874061,0.716304,533.243673,0.006814,6.896185,610.339824,617.243067,617.514448,0.271381,617.876794
9,vehicle2,965.638000,965.455000,10.544351,1,ok,22719,18375,1,0.350169,0.008256,0.000396,0.089752,20.610235,16.516542,0.000151,47.519690,8.938537,0.928323,475.263503,0.003503,7.673764,569.866733,577.544396,577.911737,0.367341,578.270162
10,vehicle2,965.838000,965.652000,11.363180,1,ok,22426,18196,1,0.193755,0.005795,0.000308,0.094234,14.649652,10.424825,0.000136,45.992871,11.185733,0.713487,445.059132,0.018888,6.148910,528.120070,534.288176,534.543388,0.255212,534.742938
