record_type,stamp_sec,cycle,vehicle_id,vehicle,cell_x,cell_y,slope,roughness,step,coarse_cost,n_points,interpolated,pose_status,status,roll_deg,pitch_deg,contact_points,stable,final_cost,success_count,collision_count,failure_count,skipped_cells
cell,3.205,1,1,wheeled car,19.75,2.75,0.850898862,0.06919498,nan,nan,0,0,1,collision,0,0,3,0,1,,,,
cell,3.205,1,2,tracked car,19.75,2.75,0.850898862,0.06919498,nan,nan,0,0,1,collision,0,0,5,0,1,,,,
cell,3.205,1,1,wheeled car,19.75,2.25,0.302036434,0.440892249,0.0122101605,0.251712948,0,1,1,collision,0,0,2,0,1,,,,
cell,3.205,1,2,tracked car,19.75,2.25,0.302036434,0.440892249,0.0122101605,0.251712948,0,1,1,collision,0,0,4,0,1,,,,
cell,3.205,1,1,wheeled car,19.25,2.75,0.887672484,0.494812846,1.68823647,1,0,1,1,collision,0,0,8,0,1,,,,
cell,3.205,1,2,tracked car,19.25,2.75,0.887672484,0.494812846,1.68823647,1,0,1,1,collision,0,0,5,0,1,,,,
cell,3.205,1,1,wheeled car,18.75,3.25,1.08987868,0.121949881,2.55864382,1,11,0,1,collision,0,0,2,0,1,,,,
cell,3.205,1,2,tracked car,18.75,3.25,1.08987868,0.121949881,2.55864382,1,11,0,1,collision,0,0,3,0,1,,,,
cell,3.205,1,1,wheeled car,18.75,2.75,0.851676524,0.853966057,2.55864382,1,6,0,2,success,36.9368551,-7.82263894,5,1,0.630377293,,,,
cell,3.205,1,2,tracked car,18.75,2.75,0.851676524,0.853966057,2.55864382,1,6,0,1,collision,0,0,7,0,1,,,,
cell,3.205,1,1,wheeled car,18.25,3.25,1.058339,0.603072166,1.62464797,1,15,0,1,collision,0,0,4,0,1,,,,
cell,3.205,1,2,tracked car,18.25,3.25,1.058339,0.603072166,1.62464797,1,15,0,2,success,0.0206995319,-14.3424575,6,1,0.239385948,,,,
cell,3.205,1,1,wheeled car,18.25,2.75,0.826234162,1.14560366,1.62464797,1,2,0,1,collision,0,0,3,0,1,,,,
cell,3.205,1,2,tracked car,18.25,2.75,0.826234162,1.14560366,1.62464797,1,2,0,1,collision,0,0,5,0,1,,,,
cell,3.205,1,1,wheeled car,17.75,2.75,0.655638993,0.55690676,0.801288724,0.671278179,0,1,1,collision,0,0,2,0,1,,,,
cell,3.205,1,2,tracked car,17.75,2.75,0.655638993,0.55690676,0.801288724,0.671278179,0,1,1,collision,0,0,3,0,1,,,,
cell,3.205,1,1,wheeled car,13.25,8.25,0.537757754,0.000529606768,nan,nan,0,0,2,success,21.9132924,0.21535546,10,1,0.368810803,,,,
cell,3.205,1,2,tracked car,13.25,8.25,0.537757754,0.000529606768,nan,nan,0,0,2,success,26.899616,6.31775828,7,1,0.553622901,,,,
cell,3.205,1,1,wheeled car,12.75,8.25,0.5324651,0.000970484689,0.683287621,0.405574411,0,1,2,success,24.9585598,-0.972448252,9,1,0.432183474,,,,
cell,3.205,1,2,tracked car,12.75,8.25,0.5324651,0.000970484689,0.683287621,0.405574411,0,1,1,collision,0,0,11,0,1,,,,
cell,3.205,1,1,wheeled car,12.25,8.25,0.526004374,0.000615987286,nan,nan,0,0,2,success,24.3085182,-1.54756725,12,1,0.430934757,,,,
cell,3.205,1,2,tracked car,12.25,8.25,0.526004374,0.000615987286,nan,nan,0,0,1,collision,0,0,8,0,1,,,,
cell,3.205,1,1,wheeled car,11.25,-2.25,0.842978477,0.652746081,1.25632644,1,0,1,2,success,-42.5213734,-4.17060448,4,1,0.569510102,,,,
cell,3.205,1,2,tracked car,11.25,-2.25,0.842978477,0.652746081,1.25632644,1,0,1,1,collision,0,0,5,0,1,,,,
cell,3.205,1,1,wheeled car,10.75,6.75,0.433144629,0.000454265333,nan,nan,0,0,2,success,15.659619,0.789702439,8,1,0.274155349,,,,
cell,3.205,1,2,tracked car,10.75,6.75,0.433144629,0.000454265333,nan,nan,0,0,1,collision,0,0,13,0,1,,,,
cell,3.205,1,1,wheeled car,10.75,-2.25,0.887419105,0.776010931,2.12731981,1,6,0,1,collision,0,0,4,0,1,,,,
cell,3.205,1,2,tracked car,10.75,-2.25,0.887419105,0.776010931,2.12731981,1,6,0,1,collision,0,0,4,0,1,,,,
cell,3.205,1,1,wheeled car,10.75,-2.75,1.01722527,0.699416518,2.12731981,1,23,0,1,collision,0,0,4,0,1,,,,
cell,3.205,1,2,tracked car,10.75,-2.75,1.01722527,0.699416518,2.12731981,1,23,0,2,success,-0.0162275975,-1.94490191,9,1,0.0326854922,,,,
cell,3.205,1,1,wheeled car,10.25,8.25,0.482453912,0.000654924079,nan,nan,0,0,2,success,20.4905772,-0.723010317,12,1,0.353559792,,,,
cell,3.205,1,2,tracked car,10.25,8.25,0.482453912,0.000654924079,nan,nan,0,0,1,collision,0,0,10,0,1,,,,
cell,3.205,1,1,wheeled car,10.25,6.75,0.428102314,0.000580393826,0.532566309,0.320416331,0,1,2,success,15.5261862,1.10641172,8,1,0.277209967,,,,
cell,3.205,1,2,tracked car,10.25,6.75,0.428102314,0.000580393826,0.532566309,0.320416331,0,1,1,collision,0,0,13,0,1,,,,
cell,3.205,1,1,wheeled car,10.25,-2.25,0.819705009,0.642886758,1.12053657,1,0,1,1,collision,0,0,1,0,1,,,,
cell,3.205,1,2,tracked car,10.25,-2.25,0.819705009,0.642886758,1.12053657,1,0,1,1,collision,0,0,5,0,1,,,,
cell,3.205,1,1,wheeled car,9.75,8.25,0.478155345,0.000374459574,0.601136684,0.359888822,0,1,2,success,19.8192062,-0.582723545,11,1,0.34003216,,,,
cell,3.205,1,2,tracked car,9.75,8.25,0.478155345,0.000374459574,0.601136684,0.359888822,0,1,1,collision,0,0,15,0,1,,,,
cell,3.205,1,1,wheeled car,9.75,7.25,0.301401496,0.420649588,0.522874773,0.414975286,1,0,2,success,15.3356316,-7.07402822,4,1,0.373494327,,,,
cell,3.205,1,2,tracked car,9.75,7.25,0.301401496,0.420649588,0.522874773,0.414975286,1,0,1,collision,0,0,21,0,1,,,,
cell,3.205,1,1,wheeled car,9.75,6.75,0.430712014,0.186813459,0.522874773,0.38013342,0,1,2,success,14.9141605,-0.625545572,8,1,0.258995116,,,,
cell,3.205,1,2,tracked car,9.75,6.75,0.430712014,0.186813459,0.522874773,0.38013342,0,1,2,success,27.7805159,-5.38985659,6,1,0.552839518,,,,
cell,3.205,1,1,wheeled car,9.25,8.75,0.391654134,0.389405936,0.0192242861,0.266761452,0,1,2,success,17.3310932,-7.95704525,4,1,0.421468973,,,,
cell,3.205,1,2,tracked car,9.25,8.75,0.391654134,0.389405936,0.0192242861,0.266761452,0,1,2,success,24.4574867,-10.7381356,5,1,0.586593688,,,,
cell,3.205,1,1,wheeled car,9.25,8.25,0.462189227,0.24031201,nan,nan,0,0,2,success,19.2088347,-1.26289067,10,1,0.341195434,,,,
cell,3.205,1,2,tracked car,9.25,8.25,0.462189227,0.24031201,nan,nan,0,0,2,success,23.5711152,-6.25727332,6,1,0.497139812,,,,
cell,3.205,1,1,wheeled car,9.25,7.25,0.377095848,0.323076874,1.01221859,1,0,1,2,success,16.153002,-7.92050972,8,1,0.401225209,,,,
